doc_id,cid,citation_type,citation_details,sql_query
PTIICOOR_CH58SOWAMA_ARTIICOSTDI_S58-36STDI,bafkreigepkzokhnbh6whkvy6rfl4jawo72lr4i2xjepd2akffvevmovyu4,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '243', 'section': '243.200', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '243'""}",SELECT * FROM cfr WHERE title = '40' AND part = '243'
PTIICOOR_CH58SOWAMA_ARTIINGE_S58-2DE,bafkreiexkfkwwxnlq4gjihvtcoporz3n3vkh2nwrgnqrb53awz7y5icfge,USC,"{'citation_type': 'USC', 'title': '42', 'section': '2011', 'sql_query': ""SELECT * FROM usc WHERE title = '42' AND section = '2011'""}",SELECT * FROM usc WHERE title = '42' AND section = '2011'
PTIICOOR_CH58SOWAMA_ARTIINGE_S58-2DE,bafkreiexkfkwwxnlq4gjihvtcoporz3n3vkh2nwrgnqrb53awz7y5icfge,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261.4', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH58SOWAMA_ARTIINGE_S58-2DE,bafkreiexkfkwwxnlq4gjihvtcoporz3n3vkh2nwrgnqrb53awz7y5icfge,Public Law,"{'citation_type': 'Public Law', 'congress': '92', 'law_number': '500', 'sql_query': ""SELECT * FROM public_laws WHERE congress = '92' AND law_number = '500'""}",SELECT * FROM public_laws WHERE congress = '92' AND law_number = '500'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1347', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1347'""}",SELECT * FROM usc WHERE title = '33' AND section = '1347'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1317', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1317'""}",SELECT * FROM usc WHERE title = '33' AND section = '1317'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1345', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1345'""}",SELECT * FROM usc WHERE title = '33' AND section = '1345'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '42', 'section': '6901', 'sql_query': ""SELECT * FROM usc WHERE title = '42' AND section = '6901'""}",SELECT * FROM usc WHERE title = '42' AND section = '6901'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1342', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1342'""}",SELECT * FROM usc WHERE title = '33' AND section = '1342'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1292', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1292'""}",SELECT * FROM usc WHERE title = '33' AND section = '1292'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.11', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261.21', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.13', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.15', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.7', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.4', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-64WADIPEAPIS,bafkreietc35lydqrpg7so2drvmtpwnd3use7d26btew6zp5iu7tem2u4ti,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.3', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-64WADIPEAPIS,bafkreietc35lydqrpg7so2drvmtpwnd3use7d26btew6zp5iu7tem2u4ti,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-64WADIPEAPIS,bafkreietc35lydqrpg7so2drvmtpwnd3use7d26btew6zp5iu7tem2u4ti,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.13', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261.30', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261.30', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
